Domain,Sub_domain,Question,Answer,Explanation (detailed),"Refer to, quote"
금융보안일반,전자금융보안,"제로트러스트 보안 모델의 구성 요소 중 사용자 인증과 관련된 부분은 무엇인가?
1 제로트러스트 네트워크
2 제로트러스트 사람
3 제로트러스트 디바이스
4 가시성 및 분석",2 제로트러스트 사람,"제로트러스트 보안 모델에서 사용자 인증과 관련된 부분은 '제로트러스트 사람'이다. 이는 사용자 이름과 비밀번호만으로는 충분하지 않으며, 강화된 접근 제어가 필요함을 의미한다.",제로트러스트
금융보안일반,전자금융보안,"다음 중 전자금융데이터 보안에 대한 설명으로 가장 적절한 것은?
1 전자금융데이터는 암호화 없이 저장해도 안전하다.
2 전자금융데이터는 물리적 데이터만 보호하면 된다.
3 전자금융데이터는 암호화를 통해 노출을 방지할 수 있다.
4 전자금융데이터는 보호 대상이 아니므로 별도의 보안 조치가 필요 없다.",3 전자금융데이터는 암호화를 통해 노출을 방지할 수 있다.,"전자금융데이터는 암호화를 통해 노출을 방지할 수 있으며, 데이터가 유출되더라도 암호화되어 있어 안전하게 보호된다. 따라서 전자금융데이터의 보안을 위해 암호화는 필수적이다.","전자금융데이터 보안, 전자금융데이터 암호화 관련 규정"
금융보안일반,전자금융보안,"다음 중 전산자료 보안에 포함되지 않는 것은?
1 금융전산자료 보호대책
2 네트워크 접근통제 (NAC)
3 문서 암호화
4 블록체인과 가상화폐",4 블록체인과 가상화폐,"전산자료 보안에는 금융전산자료 보호대책, 네트워크 접근통제 (NAC), 문서 암호화 등이 포함되며, 블록체인과 가상화폐는 전산자료 보안의 범주에 포함되지 않는다.","전자금융데이터 보안, 전산자료 보안, 문서 암호화"
금융보안일반,전자금융보안,"다음 중 전자금융데이터 유출 방지를 위한 보안통제 단계에 해당하지 않는 것은?
1 접근
2 저장
3 전송
4 삭제",4 삭제,"전자금융데이터 유출 방지를 위해 금융회사는 접근, 저장, 전송 단계별로 보안통제를 수립하고 관리해야 합니다. 삭제는 유출 방지를 위한 보안통제 단계에 포함되지 않습니다.","전자금융데이터 보안 (금융보안원, 2019)"
금융보안일반,전자금융보안,"전자금융데이터 보안에 대한 설명으로 옳은 것은?
1 전자금융데이터는 암호화 없이 저장해도 안전하다.
2 전자금융데이터는 무선통신망을 통해 전송할 때 암호화가 필요 없다.
3 전자금융데이터는 정형 데이터와 비정형 데이터 모두 암호화 방식이 동일하다.
4 전자금융데이터는 암호화를 통해 유출되더라도 안전하게 보호될 수 있다.",4 전자금융데이터는 암호화를 통해 유출되더라도 안전하게 보호될 수 있다.,전자금융데이터는 암호화를 통해 유출되더라도 안전하게 보호될 수 있다. 이는 데이터가 유출되더라도 암호화되어 있어 무단으로 접근하거나 해독하기 어렵기 때문이다. 따라서 전자금융데이터의 보안을 위해서는 암호화가 필수적이다.,"전자금융데이터 보안, 전자금융데이터 암호화"
금융보안일반,전자금융보안,"블록체인 기술의 특징으로 옳지 않은 것은?
1 블록체인은 중앙집중형 시스템 운영이 필요하다.
2 블록체인은 거래내역의 무결성을 보장한다.
3 블록체인은 분산형 네트워크에서 거래가 가능하다.
4 블록체인은 모든 거래기록에 공개적 접근이 가능하다.",1 블록체인은 중앙집중형 시스템 운영이 필요하다.,"블록체인은 중앙집중형 시스템 운영이 필요하지 않다. 블록체인은 분산형 네트워크(P2P) 환경에서 거래가 가능하며, 중앙집중형 시스템 운영, 유지보수 등의 비용을 절감할 수 있다. 또한, 블록체인은 거래내역의 무결성을 보장하고, 모든 거래기록에 공개적 접근이 가능하다.","블록체인과 가상화폐, 블록체인의 특징"
금융보안일반,전자금융보안,"전자금융데이터의 보안 대책으로 적절하지 않은 것은?
1 전자금융데이터 암호화
2 무선통신망 이용 시 암호화
3 마케팅 전략 강화
4 개인(신용)정보의 기술적 보호 조치",3 전자금융데이터의 비암호화 저장,"전자금융데이터의 보안 대책으로는 전자금융데이터 암호화, 무선통신망 이용 시 암호화, 개인(신용)정보의 기술적 보호 조치 등이 있다. 전자금융데이터를 비암호화 상태로 저장하는 것은 보안 대책으로 적절하지 않다.",전자금융데이터 보안
금융보안일반,전자금융보안,"다크웹에서 주로 거래되는 해킹 도구와 관련된 설명으로 옳지 않은 것은?
1 다크웹에서는 해킹 도구를 거래할 수 있다.
2 다크웹을 통해 랜섬웨어 공격을 수행할 수 있다.
3 다크웹에서는 해킹 도구를 무료로 제공한다.
4 다크웹에서 거래된 도구로 표적형 공격이 이루어진다.",3 다크웹에서는 해킹 도구를 무료로 제공한다.,"다크웹에서는 해킹 도구를 거래할 수 있으며, 이를 통해 랜섬웨어 공격을 수행하거나 표적형 공격을 할 수 있다. 그러나 다크웹에서 해킹 도구를 무료로 제공하는 것은 일반적이지 않다.",다크웹과 표적형 공격
금융보안일반,전자금융보안,"전자금융데이터 보안에서 전자금융거래의 안전성과 신뢰성을 확보하기 위해 금융회사가 준수해야 하는 법규는 무엇인가?
1 전자금융거래법 제21조
2 개인정보 보호법 제29조
3 전자금융감독규정 제15조
4 금융부문 암호기술 활용 가이드",1 전자금융거래법 제21조,전자금융거래의 안전성과 신뢰성을 확보하기 위해 금융회사는 전자금융거래법 제21조를 준수해야 한다. 이는 전자금융거래의 보안과 관련된 기준을 명시하고 있다.,전자금융데이터 보안 관련 규정
금융보안일반,전자금융보안,"금융 포렌식의 주요 목표 중 하나로 올바른 것은?
1 디지털 기기의 성능 향상
2 디지털 증거의 법적 효력 확보
3 금융 데이터의 암호화
4 금융 거래의 자동화",2 디지털 증거의 법적 효력 확보,금융 포렌식의 주요 목표 중 하나는 디지털 증거를 법적 분쟁 과정에서 증거로 채택될 수 있도록 확보하는 것이다. 이는 디지털 포렌식 절차를 통해 이루어진다.,금융 포렌식 소개
금융보안일반,전자금융보안,"전자금융거래에서 데이터 암호화의 주요 목적은 무엇인가?
1 데이터 무결성 보장
2 데이터 기밀성 유지
3 데이터 가용성 확보
4 데이터 접근성 향상",2 데이터 기밀성 유지,"전자금융거래에서 데이터 암호화의 주요 목적은 데이터의 기밀성을 유지하는 것이다. 암호화를 통해 데이터가 전송 중에 도청되거나 불법적으로 접근되는 것을 방지할 수 있다. 데이터 무결성 보장은 데이터가 변경되지 않도록 하는 것이며, 데이터 가용성 확보는 데이터가 필요할 때 접근 가능하도록 하는 것이다. 데이터 접근성 향상은 데이터에 쉽게 접근할 수 있도록 하는 것을 의미한다.","""전자금융거래에서 데이터 암호화는 데이터의 기밀성을 유지하기 위한 주요 수단이다."""
